Altitude (m),Pressure (Pa),Air Temperature ©,He Lift (N),H Lift (N)
0,101320.4537,15,10360.9488,11179.46976
305,97730.89217,13.01666667,10063.1552,10858.14624
610,94209.05822,11.03888889,9768.0304,10539.71392
915,90822.67942,9.055555556,9483.09152,10232.26816
1220,87504.02819,7.077777778,9201.04384,9927.936
1525,84320.83212,5.094444444,8929.53792,9634.99072
1830,81205.36362,3.116666667,8661.19008,9345.38144
2135,78191.48649,1.138888889,8399.87008,9063.42272
2440,75279.20072,-0.844444444,8145.88928,8789.42592
2745,72434.64253,-2.822222222,7895.4224,8519.16544
3050,69691.6757,-4.8,7652.42816,8256.95584
